ShipmentMonth,ConsigneeStateRegion,ConsigneeCountry,ShipmentOrigin,Province,CountryOfSale,TransportMethod,IsContainerized,ValueOfGoodsUSD,HSCode,TradeType
2015-01-01,Shandong Sheng,China,Italy,Shandong Province,Italy,River-Sea Transportation,Yes,48897.0,940161,Ordinary Trade
2015-01-01,Shanghai Shi,China,Germany,Shanghai Municipality,Germany,River-Sea Transportation,Yes,13769.0,940161,Ordinary Trade
2015-01-01,Beijing Shi,China,Italy,Beijing Municipality,Italy,River-Sea Transportation,Yes,404369.0,940161,Ordinary Trade
2015-01-01,Beijing,China,Italy,Beijing Municipality,Switzerland,Air Transport,Yes,6320.0,940161,Ordinary Trade
2015-01-01,Yunnan Sheng,China,Thailand,Yunnan Province,Thailand,Motor Vehicle Transportation,Yes,108103.0,940360,Ordinary Trade
2015-01-01,Guangdong Sheng,China,Indonesia,Guangdong Province,Indonesia,River-Sea Transportation,Yes,18597.0,940360,Ordinary Trade
2015-01-01,Guangdong,China,India,Guangdong Province,India,River-Sea Transportation,Yes,2262.0,940360,Ordinary Trade
2015-01-01,Guangdong,China,Italy,Guangdong Province,Italy,River-Sea Transportation,Yes,21552.0,940360,Ordinary Trade
2015-01-01,,,Taiwan,Guangdong Province,Taiwan,Air Transport,Yes,373.0,940360,Ordinary Trade
2015-01-01,Zhejiang,China,Indonesia,Zhejiang Province,Indonesia,River-Sea Transportation,Yes,17865.0,940360,Ordinary Trade
2015-01-01,Sichuan,China,HongKong,Sichuan Province,HongKong,River-Sea Transportation,Yes,7560.0,940360,Ordinary Trade
2015-01-01,Sichuan Sheng,China,Indonesia,Sichuan Province,Vietnam,River-Sea Transportation,Yes,35048.0,940360,Ordinary Trade
2015-01-01,Beijing,China,Italy,Beijing Municipality,Italy,River-Sea Transportation,Yes,5338.0,940360,Ordinary Trade
2015-01-01,Tianjin Shi,China,Italy,Tianjin Municipality,Italy,River-Sea Transportation,Yes,210.0,940360,Ordinary Trade
2015-01-01,Tianjin,China,India,Tianjin Municipality,United States,River-Sea Transportation,Yes,3031.0,940360,Ordinary Trade
2015-01-01,Sichuan,China,Germany,Sichuan Province,Germany,Air Transport,Yes,3707.0,940390,Ordinary Trade
2015-01-01,Zhejiang,China,United States,Zhejiang Province,United States,River-Sea Transportation,Yes,13.0,940390,Ordinary Trade
2015-01-01,Fujian,China,United States,Fujian Province,United States,Air Transport,Yes,36013.0,940390,Inbound/Outbound Goods in Bonded Warehouses
2015-01-01,Shanghai Shi,China,Portugal,Shanghai Municipality,Portugal,River-Sea Transportation,Yes,300967.0,940390,Inbound/Outbound Goods in Bonded Warehouses
2015-01-01,Shandong,China,Vietnam,Shandong Province,Vietnam,River-Sea Transportation,Yes,186252.0,940390,Processing Trade with Imported Materials
2015-01-01,Guangdong Sheng,China,Italy,Guangdong Province,HongKong,Air Transport,Yes,15609.0,940340,Ordinary Trade
2015-01-01,Shanghai,China,Italy,Shanghai Municipality,Italy,Air Transport,Yes,4888.0,940340,Ordinary Trade
2015-01-01,Beijing,China,Spain,Beijing Municipality,Spain,River-Sea Transportation,Yes,1097.0,940340,Ordinary Trade
2015-01-01,Hainan,China,United States,Hainan Province,Netherlands,Air Transport,Yes,21813.0,940190,Ordinary Trade
2015-01-01,Guangdong,China,Mexico,Guangdong Province,United States,River-Sea Transportation,Yes,86.0,940190,Ordinary Trade
2015-01-01,Guangdong,China,Taiwan,Guangdong Province,HongKong,Motor Vehicle Transportation,Yes,19661.0,940190,Ordinary Trade
2015-01-01,,China,China,Guangdong Province,HongKong,Motor Vehicle Transportation,Yes,5121.0,940190,Processing Trade with Imported Materials
2015-01-01,Fujian,China,Germany,Fujian Province,United Kingdom,Air Transport,Yes,712.0,940190,Ordinary Trade
2015-01-01,Xizang (Tibet),China,Italy,Tibet Autonomous Region,Italy,Air Transport,Yes,933.0,940190,Ordinary Trade
2015-01-01,Shanghai,China,Spain,Shanghai Municipality,United Kingdom,River-Sea Transportation,Yes,10.0,940190,Storage of Transit Goods in Bonded Warehouses
