PanjivaRecordID,combined_score,hdf_score,normal_id_list,score
115102810,10.711650200721992,1.0,133463658;134180394;133949120;133633867;119409653;118576742;118849970;118843954;119587425;119533703;148053757;148013640;147547081;148160540;112953534;112815097;112823218;112737070;111470194;111967895;111477830;111896513;112158472;111477832;111629580;111112389;131288934;130672340;130936885;131282113;149081080;149399665;149207789;149133345;148982496;148480030;149207790;148725012;148596886;149423210;149648626;133056753;131950366;132761899;142516988;141929690;142214728;141929692;142083083;141805968;141929691;142825435;142814427;141929551;141929550;142214722;142526291;129755386;130030804;130365715;116256889;117017371;117378317;116278487;117342982;116710081;116982796;106777685;106533670;120500146;119834028;120145774;120430442;121502310;121790818;135863193;136454049;136316740;135755522;129105280;128207746;129207972;152180433;152392121;152753878;139722170;139183471;138591357;138132794;138132793;138767296;138832258;137270487;137615974;137769450;137827584;137024837;110172025;109696090;109067547,10.711650200721992
129314502,10.7109523485217,1.0,134117273;119210245;147800881;148008167;147639922;148286749;113525558;112484825;112059305;130794624;131814352;148626603;132996026;131938663;132285834;142693977;130404284;129871466;129886424;129314502;107035962;107432179;121466411;135817148;136299952;128713841;127968630;129026391;151448184;151360534;151923359;151923937;151923938;151923936;151973693;151978253;151923358;151978254;151977676;152198447;152429000;152429001;152429002;152587318;152581132;152835783;139901172;139945133;139973346;138641972;137984027;138941170;138282896;109852350;109338553;110491580;110916597;110676464;110499871;124813999;124440419;124275028;125095881;124891016;135728439;146136444;145857857;146107737;146329903;122917052;114099124;114332260;114201867;114496198;114597512;113742989;126879974;127219480;140790962;141458821;140608769;141458818;140878730;115299055;143822010;143383800;143063878;143063876;150623352;150653558;150936498;150485405;150141404;144591031;144946026;144527212;145441744;145273947;144398866;108543646,10.7109523485217
128713841,10.7109523485217,1.0,134117273;119210245;147800881;148008167;147639922;148286749;113525558;112484825;112059305;130794624;131814352;148626603;132996026;131938663;132285834;142693977;130404284;129871466;129886424;129314502;107035962;107432179;121466411;135817148;136299952;128713841;127968630;129026391;151448184;151360534;151923359;151923937;151923938;151923936;151973693;151978253;151923358;151978254;151977676;152198447;152429000;152429001;152429002;152587318;152581132;152835783;139901172;139945133;139973346;138641972;137984027;138941170;138282896;109852350;109338553;110491580;110916597;110676464;110499871;124813999;124440419;124275028;125095881;124891016;135728439;146136444;145857857;146107737;146329903;122917052;114099124;114332260;114201867;114496198;114597512;113742989;126879974;127219480;140790962;141458821;140608769;141458818;140878730;115299055;143822010;143383800;143063878;143063876;150623352;150653558;150936498;150485405;150141404;144591031;144946026;144527212;145441744;145273947;144398866;108543646,10.7109523485217
129026391,10.7109523485217,1.0,134117273;119210245;147800881;148008167;147639922;148286749;113525558;112484825;112059305;130794624;131814352;148626603;132996026;131938663;132285834;142693977;130404284;129871466;129886424;129314502;107035962;107432179;121466411;135817148;136299952;128713841;127968630;129026391;151448184;151360534;151923359;151923937;151923938;151923936;151973693;151978253;151923358;151978254;151977676;152198447;152429000;152429001;152429002;152587318;152581132;152835783;139901172;139945133;139973346;138641972;137984027;138941170;138282896;109852350;109338553;110491580;110916597;110676464;110499871;124813999;124440419;124275028;125095881;124891016;135728439;146136444;145857857;146107737;146329903;122917052;114099124;114332260;114201867;114496198;114597512;113742989;126879974;127219480;140790962;141458821;140608769;141458818;140878730;115299055;143822010;143383800;143063878;143063876;150623352;150653558;150936498;150485405;150141404;144591031;144946026;144527212;145441744;145273947;144398866;108543646,10.7109523485217
127219480,10.7109523485217,1.0,134117273;119210245;147800881;148008167;147639922;148286749;113525558;112484825;112059305;130794624;131814352;148626603;132996026;131938663;132285834;142693977;130404284;129871466;129886424;129314502;107035962;107432179;121466411;135817148;136299952;128713841;127968630;129026391;151448184;151360534;151923359;151923937;151923938;151923936;151973693;151978253;151923358;151978254;151977676;152198447;152429000;152429001;152429002;152587318;152581132;152835783;139901172;139945133;139973346;138641972;137984027;138941170;138282896;109852350;109338553;110491580;110916597;110676464;110499871;124813999;124440419;124275028;125095881;124891016;135728439;146136444;145857857;146107737;146329903;122917052;114099124;114332260;114201867;114496198;114597512;113742989;126879974;127219480;140790962;141458821;140608769;141458818;140878730;115299055;143822010;143383800;143063878;143063876;150623352;150653558;150936498;150485405;150141404;144591031;144946026;144527212;145441744;145273947;144398866;108543646,10.7109523485217
151006863,10.701378775732506,1.0,133941947;134259240;133764129;133764130;134035806;119237740;118677102;119604188;119237767;119237710;119510867;119603991;147661244;148295036;147500014;147675241;147777213;148340003;147500015;148214915;147496993;148295035;148025030;147182777;147141579;147934347;147934346;147934345;147141580;147934348;147200120;147384980;148025031;113057017;112492979;112492981;112492967;112492969;112492970;112492968;112935457;112935456;112794265;112784095;113204226;112492971;113322755;112935253;113204225;112685974;112794267;112935458;112794266;111780977;111515034;131206847;131639096;131543465;131582868;130916294;131206848;131746190;130916293;131760100;131206849;148793341;148569061;149478238;149393863;149092546;149487490;149650757;148569060;148683471;149294728;149650758;149650755;149650756;132807470;133103434;132117209;131841946;132827584;142611064;142534386;141708966;141791450;141708967;141708965;141815318;141799248;142534385;130175572;130475111;130268687;130529318;130475110;130529316;129518280;116679782,10.701378775732506
138820122,10.696991168725633,1.0,133365683;133365677;133365661;133997335;133365679;133741605;148246263;148304297;148404649;147280369;147588257;147280368;147792541;147459981;147588256;147855900;148129244;112224051;111957851;130755815;130755817;130853673;149506685;149334716;148656187;148656184;149507427;149582614;132985470;132756660;133136108;133136115;133103599;131938759;133103633;142020412;142266293;142397228;142759660;142724780;142397230;142724782;142511731;141820717;142511730;142106794;142106787;142724775;141876949;142724773;141820745;142615709;142477218;141820747;142724777;141876945;141857179;142397254;141820741;129366453;129514087;129901205;129984018;129548307;117080739;107467290;120567974;121367166;121902715;121640128;136206328;136206257;136206256;136206254;136206322;135904420;135904423;136652897;136332568;135904522;136841805;136416643;129178291;128446538;128794560;129176077;128181042;128794563;151644044;151644041;151412152;151650640;151768968;151921593;151769406;152183557;152044992;152159594;152331031;152159595,10.696991168725633
142517629,10.684185113235475,1.0,147561499;131223325;131957047;142517629;116569265;137423750;109760133;126470491;134773539;123295995;140611861,10.684185113235475
108111571,10.67860350372613,1.0,133941947;134259240;133764129;133764130;134035806;119237740;118677102;119604188;119237767;119237710;119510867;119603991;147661244;148295036;147500014;147675241;147777213;148340003;147500015;148214915;147496993;148295035;148025030;147182777;147141579;147934347;147934346;147934345;147141580;147934348;147200120;147384980;148025031;113057017;112492979;112492981;112492967;112492969;112492970;112492968;112935457;112935456;112794265;112784095;113204226;112492971;113322755;112935253;113204225;112685974;112794267;112935458;112794266;111780977;111515034;131206847;131639096;131543465;131582868;130916294;131206848;131746190;130916293;131760100;131206849;148793341;148569061;149478238;149393863;149092546;149487490;149650757;148569060;148683471;149294728;149650758;149650755;149650756;132807470;133103434;132117209;131841946;132827584;142611064;142534386;141708966;141791450;141708967;141708965;141815318;141799248;142534385;130175572;130475111;130268687;130529318;130475110;130529316;129518280;116679782,10.67860350372613
116535241,10.678364983911589,1.0,134030708;134030713;133311788;133408981;133408980;148012268;113576996;112136774;112123084;112136772;131815736;131815735;131221677;131307606;130717889;131895362;130516860;130399241;130060134;130060132;130399240;130060131;116380192;116535241;107848175;120071254;151454728;109650755;146999246;115194471;143380465;143380464,10.678364983911589
